iter	Passed	Remaining
1397	19946	265407
1398	19959	265383
1399	19973	265362
1400	19987	265345
1401	20001	265330
1402	20015	265313
1403	20029	265293
1404	20044	265282
1405	20058	265266
1406	20071	265243
1407	20086	265233
1408	20100	265221
1409	20115	265205
1410	20128	265184
1411	20143	265169
1412	20157	265155
1413	20171	265143
1414	20186	265136
1415	20200	265120
1416	20214	265103
1417	20229	265091
1418	20243	265076
1419	20257	265057
1420	20271	265044
1421	20286	265032
1422	20300	265014
1423	20314	265007
1424	20329	264991
1425	20343	264979
1426	20358	264969
1427	20373	264964
1428	20386	264938
1429	20400	264922
1430	20414	264903
1431	20428	264885
1432	20442	264863
1433	20455	264839
1434	20469	264820
1435	20483	264801
1436	20497	264780
1437	20510	264758
1438	20525	264742
1439	20539	264729
1440	20553	264713
1441	20567	264692
1442	20581	264679
1443	20596	264670
1444	20611	264674
1445	20626	264659
1446	20640	264646
1447	20654	264626
1448	20668	264613
1449	20682	264592
1450	20697	264584
1451	20714	264612
1452	20728	264595
1453	20742	264574
1454	20759	264591
1455	20772	264569
1456	20787	264552
1457	20800	264535
1458	20815	264524
1459	20828	264499
1460	20842	264473
1461	20855	264450
1462	20869	264430
1463	20883	264412
1464	20897	264390
1465	20911	264368
1466	20925	264351
1467	20938	264330
1468	20952	264314
1469	20967	264300
1470	20981	264289
1471	20999	264314
1472	21013	264301
1473	21027	264288
1474	21041	264263
1475	21054	264238
1476	21068	264223
1477	21082	264203
1478	21097	264191
1479	21111	264179
1480	21125	264157
1481	21139	264142
1482	21153	264128
1483	21167	264113
1484	21182	264101
1485	21196	264080
1486	21209	264061
1487	21223	264041
1488	21237	264023
1489	21251	264005
1490	21265	263988
1491	21279	263969
1492	21294	263957
1493	21307	263937
1494	21321	263913
1495	21335	263900
1496	21349	263878
1497	21363	263864
1498	21377	263843
1499	21390	263821
1500	21404	263794
1501	21418	263777
1502	21432	263760
1503	21446	263743
1504	21459	263722
1505	21473	263702
1506	21488	263690
1507	21502	263673
1508	21516	263658
1509	21530	263644
1510	21547	263655
1511	21560	263632
1512	21573	263607
1513	21587	263588
1514	21601	263570
1515	21615	263551
1516	21629	263535
1517	21644	263521
1518	21658	263510
1519	21672	263492
1520	21689	263506
1521	21706	263528
1522	21719	263498
1523	21733	263483
1524	21747	263463
1525	21760	263438
1526	21774	263413
1527	21787	263387
1528	21801	263366
1529	21815	263354
1530	21831	263361
1531	21845	263340
1532	21859	263322
1533	21872	263300
1534	21886	263279
1535	21900	263260
1536	21914	263244
1537	21928	263229
1538	21942	263211
1539	21957	263201
1540	21971	263186
1541	21985	263169
1542	21999	263148
1543	22012	263126
1544	22026	263103
1545	22040	263086
1546	22054	263067
1547	22068	263049
1548	22081	263028
1549	22095	263013
1550	22109	262995
1551	22123	262973
1552	22137	262956
1553	22151	262939
1554	22164	262915
1555	22179	262901
1556	22193	262884
1557	22206	262861
1558	22220	262840
1559	22235	262837
1560	22249	262814
1561	22262	262790
1562	22276	262766
1563	22289	262746
1564	22303	262725
1565	22317	262707
1566	22331	262694
1567	22345	262674
1568	22360	262662
1569	22373	262644
1570	22387	262617
1571	22401	262600
1572	22417	262615
1573	22431	262596
1574	22448	262612
1575	22461	262586
1576	22475	262571
1577	22490	262555
1578	22504	262539
1579	22518	262520
1580	22531	262497
1581	22545	262478
1582	22559	262462
1583	22573	262442
1584	22587	262426
1585	22604	262443
1586	22617	262416
1587	22630	262392
1588	22643	262364
1589	22657	262344
1590	22671	262321
1591	22684	262298
1592	22698	262275
1593	22711	262253
1594	22725	262229
1595	22738	262203
1596	22752	262182
1597	22765	262161
1598	22779	262140
1599	22793	262125
1600	22807	262107
1601	22821	262093
1602	22835	262075
1603	22848	262050
1604	22863	262035
1605	22877	262017
1606	22891	262002
1607	22905	261987
1608	22919	261972
1609	22933	261954
1610	22947	261935
1611	22961	261921
1612	22975	261903
1613	22989	261889
1614	23003	261873
1615	23018	261859
1616	23032	261841
1617	23045	261823
1618	23059	261805
1619	23073	261782
1620	23087	261766
1621	23101	261745
1622	23114	261725
1623	23128	261708
1624	23143	261696
1625	23157	261686
1626	23171	261670
1627	23185	261652
1628	23200	261639
1629	23214	261626
1630	23228	261608
1631	23242	261593
1632	23256	261575
1633	23270	261555
1634	23284	261544
1635	23299	261536
1636	23314	261524
1637	23328	261512
1638	23342	261492
1639	23356	261483
1640	23372	261482
1641	23385	261458
1642	23399	261443
1643	23413	261427
1644	23427	261410
1645	23442	261397
1646	23456	261381
1647	23469	261358
1648	23483	261332
1649	23496	261312
1650	23510	261287
1651	23523	261268
1652	23537	261251
1653	23551	261232
1654	23565	261214
1655	23579	261195
1656	23593	261177
1657	23607	261161
1658	23620	261140
1659	23635	261127
1660	23649	261109
1661	23663	261090
1662	23676	261072
1663	23690	261055
1664	23704	261036
1665	23718	261016
1666	23731	260994
