"","metric_name","cluster_num","window","overlap","dist","metric_value"
"431","DB","4","120","0.25","dtw_lb",0.581429897317177
"432","DBstar","4","120","0.25","dtw_lb",0.89870490685959
"433","D","4","120","0.25","dtw_lb",0
"434","COP","4","120","0.25","dtw_lb",0.115474044948525
"435","Sil","5","120","0.25","dtw_lb",0.384176699602704
"436","SF","5","120","0.25","dtw_lb",4.86877205219116e-12
"437","CH","5","120","0.25","dtw_lb",19286.3972943721
"438","DB","5","120","0.25","dtw_lb",0.648235107463411
"439","DBstar","5","120","0.25","dtw_lb",1.1647863606765
"440","D","5","120","0.25","dtw_lb",0
"441","COP","5","120","0.25","dtw_lb",0.0878187731240875
"442","Sil","6","120","0.25","dtw_lb",0.367527988730478
"443","SF","6","120","0.25","dtw_lb",1.33226762955019e-15
"444","CH","6","120","0.25","dtw_lb",16956.8352397354
"445","DB","6","120","0.25","dtw_lb",0.851273661411698
"446","DBstar","6","120","0.25","dtw_lb",1.37581881785452
"447","D","6","120","0.25","dtw_lb",0
"448","COP","6","120","0.25","dtw_lb",0.0675220893088496
"449","Sil","7","120","0.25","dtw_lb",0.352782230303933
"450","SF","7","120","0.25","dtw_lb",9.99200722162641e-15
"451","CH","7","120","0.25","dtw_lb",15682.4548518201
"452","DB","7","120","0.25","dtw_lb",0.831307005380356
"453","DBstar","7","120","0.25","dtw_lb",1.56723265891477
"454","D","7","120","0.25","dtw_lb",0
"455","COP","7","120","0.25","dtw_lb",0.0715700475971103
"456","Sil","3","120","0.5","dtw_lb",0.486574384643156
"457","SF","3","120","0.5","dtw_lb",1.14702948250667e-08
"458","CH","3","120","0.5","dtw_lb",40043.0172925703
"459","DB","3","120","0.5","dtw_lb",0.514355887568317
"460","DBstar","3","120","0.5","dtw_lb",0.629010588446858
"461","D","3","120","0.5","dtw_lb",0
"462","COP","3","120","0.5","dtw_lb",0.152797763819849
"463","Sil","4","120","0.5","dtw_lb",0.430005174354179
"464","SF","4","120","0.5","dtw_lb",4.15685263988053e-11
"465","CH","4","120","0.5","dtw_lb",29806.1748594273
"466","DB","4","120","0.5","dtw_lb",0.534354070962411
"467","DBstar","4","120","0.5","dtw_lb",0.811953410033633
"468","D","4","120","0.5","dtw_lb",0
"469","COP","4","120","0.5","dtw_lb",0.112130733672462
"470","Sil","5","120","0.5","dtw_lb",0.356710164341802
"471","SF","5","120","0.5","dtw_lb",3.31112914864207e-12
"472","CH","5","120","0.5","dtw_lb",29246.8409330323
"473","DB","5","120","0.5","dtw_lb",0.713691166619898
"474","DBstar","5","120","0.5","dtw_lb",1.24951576488439
"475","D","5","120","0.5","dtw_lb",0
"476","COP","5","120","0.5","dtw_lb",0.0881886098999174
"477","Sil","6","120","0.5","dtw_lb",0.388968415043793
"478","SF","6","120","0.5","dtw_lb",1.55431223447522e-15
"479","CH","6","120","0.5","dtw_lb",25545.4082535823
"480","DB","6","120","0.5","dtw_lb",1.08789550575557
"481","DBstar","6","120","0.5","dtw_lb",1.59749706362374
"482","D","6","120","0.5","dtw_lb",0
"483","COP","6","120","0.5","dtw_lb",0.0708751165245446
"484","Sil","7","120","0.5","dtw_lb",0.376564892218185
"485","SF","7","120","0.5","dtw_lb",4.44089209850063e-16
"486","CH","7","120","0.5","dtw_lb",23498.5108512251
"487","DB","7","120","0.5","dtw_lb",0.71865137602346
"488","DBstar","7","120","0.5","dtw_lb",1.26631898045799
"489","D","7","120","0.5","dtw_lb",0
"490","COP","7","120","0.5","dtw_lb",0.0621666995136979
"491","Sil","3","120","0.75","dtw_lb",0.4660610817602
